ts,symbol,bid,ask
2012-01-01T22:00:00Z,AUDCAD,1.0403,1.04439
2012-01-01T22:00:00Z,AUDCHF,0.95783,0.95845
2012-01-01T22:00:00Z,AUDJPY,78.344,78.529
2012-01-01T22:00:00Z,AUDNZD,1.31177,1.31325
2012-01-01T22:00:00Z,CADCHF,0.91894,0.91924
2012-01-01T22:00:00Z,EURAUD,1.27015,1.27207
2012-01-01T22:00:00Z,EURCHF,1.2164,1.21696
2012-01-01T22:00:00Z,EURGBP,0.8331,0.83348
2012-01-01T22:00:00Z,EURJPY,99.609,99.777
2012-01-01T22:00:00Z,EURUSD,1.29592,1.29677
2012-01-01T22:00:00Z,GBPCHF,1.4592,1.46033
2012-01-01T22:00:00Z,GBPJPY,119.535,119.61
2012-01-01T22:00:00Z,GBPNZD,1.9961,1.99783
2012-01-01T22:00:00Z,GBPUSD,1.55454,1.55483
2012-01-01T22:00:00Z,NZDCAD,0.7937,0.79449
2012-01-01T22:00:00Z,NZDCHF,0.72956,0.73012
2012-01-01T22:00:00Z,NZDJPY,59.743,59.852
2012-01-01T22:00:00Z,NZDUSD,0.77718,0.7778
2012-01-01T22:00:00Z,USDCAD,1.0211,1.0221
2012-01-01T22:00:00Z,USDCHF,0.93863,0.93908
2012-01-01T22:00:00Z,USDJPY,76.865,76.957
2012-01-02T22:00:00Z,AUDCAD,1.04186,1.04338
2012-01-02T22:00:00Z,AUDCHF,0.96136,0.96221
2012-01-02T22:00:00Z,AUDJPY,78.661,78.701
2012-01-02T22:00:00Z,AUDNZD,1.31385,1.31472
2012-01-02T22:00:00Z,CADCHF,0.92198,0.92281
2012-01-02T22:00:00Z,EURAUD,1.26315,1.26443
2012-01-02T22:00:00Z,EURCHF,1.21527,1.21581
2012-01-02T22:00:00Z,EURGBP,0.83354,0.8338
2012-01-02T22:00:00Z,EURJPY,99.447,99.493
2012-01-02T22:00:00Z,EURUSD,1.29334,1.29355
2012-01-02T22:00:00Z,GBPCHF,1.45706,1.45823
2012-01-02T22:00:00Z,GBPJPY,119.251,119.31
2012-01-02T22:00:00Z,GBPNZD,1.99201,1.9937
2012-01-02T22:00:00Z,GBPUSD,1.55105,1.55135
2012-01-02T22:00:00Z,NZDCAD,0.79282,0.79362
2012-01-02T22:00:00Z,NZDCHF,0.73126,0.73168
2012-01-02T22:00:00Z,NZDJPY,59.846,59.883
2012-01-02T22:00:00Z,NZDUSD,0.77797,0.77893
2012-01-02T22:00:00Z,USDCAD,1.01794,1.01918
2012-01-02T22:00:00Z,USDCHF,0.93966,0.93996
2012-01-02T22:00:00Z,USDJPY,76.888,76.907
2012-01-03T22:00:00Z,AUDCAD,1.04825,1.04879
2012-01-03T22:00:00Z,AUDCHF,0.96707,0.96748
2012-01-03T22:00:00Z,AUDJPY,79.616,79.643
2012-01-03T22:00:00Z,AUDNZD,1.31325,1.31416
2012-01-03T22:00:00Z,CADCHF,0.92211,0.92219
2012-01-03T22:00:00Z,EURAUD,1.25725,1.25763
2012-01-03T22:00:00Z,EURCHF,1.21633,1.2167
2012-01-03T22:00:00Z,EURGBP,0.83369,0.83409
2012-01-03T22:00:00Z,EURJPY,100.154,100.17
2012-01-03T22:00:00Z,EURUSD,1.30515,1.30516
